operational_presence,fabric_in_chamber,testing_schedule,standby_power_down,workload,UTA_Electric_Active_Energy
0,1,4.054900844604881,0,174.3457690494071,40.45
1,0,18.032982368592258,0,174.5612767985411,40.5
1,1,2.0074341739984085,1,174.66903067310807,40.525
1,0,13.56701782842954,1,174.77678454767505,40.55
0,1,13.2454833479795,0,174.8845384222421,40.575
0,1,9.321241071521776,0,175.10004617137608,40.625
0,1,20.269707544045612,0,174.99229229680907,40.6
1,0,0.10489547486429363,1,174.5612767985411,40.5
1,1,12.484305645564497,0,174.3457690494071,40.45
1,0,5.211685196044498,1,173.0527225546031,40.150000000000006
0,0,17.84396685879439,1,177.7938930355511,41.25
1,0,1.033618231346332,1,176.17758491704606,40.875
1,0,19.957312516357863,1,136.91207302483105,31.765
0,1,20.114213440966836,0,173.80699967657208,40.325
0,0,19.98878429768407,0,172.62170705633503,40.05
0,1,3.6616446415840764,0,172.72946093090206,40.075
0,1,15.129756445465077,1,172.62170705633503,40.05
1,1,0.3448166204013505,1,172.19069155806704,39.95
0,1,20.351102190940797,1,172.29844543263405,39.975
0,0,17.35140464420689,0,172.40619930720104,40.0
1,1,12.747689541582064,1,172.40619930720104,40.0
0,0,17.53419439431881,1,172.83721480546905,40.1
0,1,2.263778319642533,1,173.59149192743806,40.275
0,1,12.68773997224455,1,174.45352292397408,40.475
0,1,6.9906358035946905,1,45.418258129990775,10.5375
1,0,23.342867117351354,1,2.155077491340013,0.5
0,0,20.57083081497364,0,2.165852878796713,0.5025
1,0,17.598616700015445,0,2.2412805909936138,0.52
1,0,22.409943245993567,0,2.1981790411668136,0.51
0,0,8.32423930957137,0,2.187403653710114,0.5075000000000001
1,1,21.621117575716347,1,2.1981790411668136,0.51
0,0,7.805717570561048,1,132.65579497943452,30.7775
0,1,17.587121272587673,1,176.60860041531407,40.975
1,1,17.674005882634777,0,176.60860041531407,40.975
1,1,0.44039703489824333,0,177.03961591358208,41.075
1,0,8.665432758676683,0,176.60860041531407,40.975
0,0,0.4663841378039493,0,176.60860041531407,40.975
0,0,23.930208422645965,1,175.74656941877805,40.775
1,0,2.932722283901712,0,174.66903067310807,40.525
0,1,13.027461495554626,0,174.99229229680907,40.6
0,0,18.973349730303294,0,174.77678454767505,40.55
0,1,4.830326454261419,1,174.99229229680907,40.6
0,1,11.641264034291343,1,175.10004617137608,40.625
1,1,14.57829026210762,0,175.2078000459431,40.650000000000006
0,0,3.844914105493089,1,175.2078000459431,40.650000000000006
1,0,18.685331037876924,1,176.39309266618005,40.925
0,1,7.184074972544767,0,45.68764281640828,10.6
1,0,5.064553832132168,0,2.230505203536914,0.5175000000000001
1,0,13.398929914498005,0,2.230505203536914,0.5175000000000001
0,0,9.847527063430508,0,2.144302103883313,0.4975
1,0,22.086862671274027,1,2.176628266253413,0.505
1,1,21.121504756755694,0,2.2197298160802137,0.515
1,0,11.600415921333198,0,2.1981790411668136,0.51
1,1,8.622330593414341,0,2.133526716426613,0.495
1,0,7.812431559150365,0,2.1981790411668136,0.51
1,1,6.421526953956177,1,2.208954428623513,0.5125
0,1,13.069148489099454,0,2.165852878796713,0.5025
0,1,19.319486513629045,0,2.144302103883313,0.4975
0,0,7.4581585968853865,1,2.208954428623513,0.5125
0,0,4.562258152513956,0,2.1981790411668136,0.51
0,0,11.411611348398882,0,2.144302103883313,0.4975
0,1,1.6568260031439968,0,2.1012005540565126,0.4875
1,1,16.830696147112963,0,2.1981790411668136,0.51
0,1,12.440598391246407,0,2.230505203536914,0.5175000000000001
0,0,11.912995391348499,0,2.155077491340013,0.5
1,1,7.21068910920054,0,2.176628266253413,0.505
0,0,21.71216250076168,1,2.2412805909936138,0.52
1,1,2.171671004389265,0,2.208954428623513,0.5125
0,0,20.875776213288752,1,2.165852878796713,0.5025
1,1,9.040924857982144,0,2.165852878796713,0.5025
1,0,21.134964383400536,1,2.2197298160802137,0.515
0,0,17.490274999977206,1,2.208954428623513,0.5125
0,1,2.5000974398889193,0,132.3217579682768,30.7
1,0,19.956870876224485,1,175.85432329334506,40.8
1,1,16.372244008788122,1,175.96207716791207,40.825
1,1,0.7752459099683628,0,175.74656941877805,40.775
1,1,3.208864370632079,1,176.5008465407471,40.95
0,0,15.255073340056683,0,175.85432329334506,40.8
0,0,15.90241206912684,0,175.31555392051007,40.675
0,1,17.91963438810228,1,175.42330779507708,40.7
1,0,17.285889618599565,0,174.66903067310807,40.525
1,1,15.828478912078918,1,173.59149192743806,40.275
0,0,18.38973364191414,1,173.48373805287105,40.25
0,0,13.802056941416948,1,173.37598417830407,40.225
0,0,6.258993252586918,0,172.29844543263405,39.975
0,0,21.897038729537236,1,169.06582919562402,39.225
1,0,0.43713674236747035,0,169.17358307019103,39.25
1,1,8.797481276915764,0,169.06582919562402,39.225
1,1,17.492887034331922,1,172.08293768350003,39.925
0,0,10.251744987592183,1,172.72946093090206,40.075
0,1,0.5960257795203434,0,172.94496868003606,40.125
1,1,1.5835416747891164,1,169.82010631759306,39.400000000000006
1,1,15.567296859318926,0,169.17358307019103,39.25
1,1,23.156750385727193,1,169.49684469389206,39.325
1,1,13.244727260027975,1,157.85942624065598,36.625
0,0,12.162187632570458,0,91.91405500565158,21.325000000000003
1,0,7.639805113350414,0,71.22531108878742,16.525
0,0,6.1605761727855155,1,71.54857271248845,16.6
0,1,0.5036395621508332,0,71.76408046162244,16.65
0,0,6.550916823371308,1,133.72255833764783,31.025
0,1,10.778650580766058,0,154.19579450537793,35.775
1,0,4.750794793174804,0,167.34176720255203,38.825
0,1,2.096351723554301,0,171.22090668696407,39.725
1,0,17.225468814110464,0,171.11315281239706,39.7
1,0,21.47088645763361,1,174.45352292397408,40.475
0,0,22.482529672490053,0,174.8845384222421,40.575
0,0,14.831969483927743,1,174.77678454767505,40.55
1,0,1.2665899823827633,1,174.02250742570607,40.375
0,1,17.780703119082563,0,172.29844543263405,39.975
0,0,2.642287326285273,1,169.281336944758,39.275
0,0,16.073954824507773,1,169.60459856845904,39.35
0,1,18.70478005794902,1,169.60459856845904,39.35
1,0,17.420753059835345,1,172.72946093090206,40.075
1,1,22.845211338267134,0,175.10004617137608,40.625
1,1,17.715510827217354,1,174.99229229680907,40.6
1,0,16.637034671563406,0,172.40619930720104,40.0
1,0,6.281836132394457,0,170.89764506326304,39.65
0,0,22.19444847446164,1,171.65192218523205,39.825
