Date,Optimized_Total_Cost
2023-06-01,822.81583916317
2023-06-02,634.7853625120999
2023-06-03,523.1861399133314
2023-06-04,701.4442012712352
2023-06-05,897.1358086186842
2023-06-06,762.6335952456488
2023-06-07,713.6643766789044
2023-06-08,728.4424527352351
2023-06-09,620.929278231062
2023-06-10,628.4876645778162
2023-06-11,673.7601174457178
2023-06-12,826.3834037914165
2023-06-13,703.5832887436865
2023-06-14,798.9906656592918
2023-06-15,906.3283502083525
2023-06-16,811.13332619817
2023-06-17,555.7563226345854
2023-06-18,796.2046710489094
2023-06-19,1346.4829195192451
2023-06-20,954.9511523408694
2023-06-21,929.023930223818
2023-06-22,894.4766758622175
2023-06-23,696.5329969696239
2023-06-24,553.850501240738
2023-06-25,1157.6314929092687
2023-06-26,1110.379809080831
2023-06-27,1360.3924536270165
2023-06-28,996.330254662411
2023-06-29,871.5510930132608
2023-06-30,682.7575607355649
