Date,Hour,optimized_Power Transport Vehicles,optimized_Set Point,optimized_Number of Active Chillers,optimized_Standby Power Down,optimized_Active Printers,optimized_Active Coffee Machines,optimized_Number of Servers,optimized_Number of Network Switches (PoE),optimized_Number of Network Switches (Non-PoE),optimized_Number of HDDs,optimized_Number of SSDs,optimized_Compressor Energy,optimized_Technological Centers Energy,optimized_Chiller Energy,optimized_Data Center Energy,optimized_Production Energy,optimized_UTA Energy,optimized_Office Energy,optimized_Total Cost
2023-06-01,0,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,1.0087148141884623,1.001111781421466,21.3908619512534,25.60784646,84.0668821350845,0.478906250545761,22.7967259086482,822.81583916317
2023-06-01,1,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,16.339982577741058,30.909300996301734,20.9622557545646,25.60784646,173.95245489123,44.9941837628081,25.3394111110903,822.81583916317
2023-06-01,2,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,16.49120596755338,28.756900442678106,20.805581070098,25.60784646,149.716981130973,37.672092637782,24.3793403401589,822.81583916317
2023-06-01,3,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,16.46538111411299,28.556673821103992,20.9363730185275,25.60784646,108.767782616201,33.5606074785281,25.4677505266583,822.81583916317
2023-06-01,4,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,17.650719928180095,28.55667473454002,21.3577645911901,25.60784646,175.900778722876,47.2331789197144,27.5304003436347,822.81583916317
2023-06-01,5,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,17.27256484509443,28.3814829245766,22.0196379201391,25.60784646,117.274152632587,32.2727207693106,24.973546281647,822.81583916317
2023-06-01,6,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,27.86373862641084,29.707961228711977,22.8787583301179,25.60784646,178.251338961974,36.4983702499785,25.8336153561016,822.81583916317
2023-06-01,7,175.0,25.0,2.0,1.0,1.0,2.0,100.0,20.0,25.0,75.0,75.0,52.271777270912494,27.355346052763515,23.8799092837199,25.60784646,198.201244154499,44.3655781701603,27.0361960986234,822.81583916317
2023-06-01,8,200.0,25.0,2.0,0.0,6.0,6.0,150.0,30.0,40.0,125.0,125.0,55.47421069104132,28.356455487658565,24.9446672749039,38.51895719,221.475639303077,37.9996630504008,81.8347755017077,822.81583916317
2023-06-01,9,200.0,25.0,2.0,0.0,6.0,6.0,150.0,30.0,40.0,125.0,125.0,54.66702324540359,28.857011140634327,26.0089582338137,38.51895719,229.356156822399,35.4754589104805,83.2890505176504,822.81583916317
