Date,Optimized_Total_Cost
2023-06-01,410.70015231176814
2023-06-02,211.516764765742
2023-06-03,94.16336471049402
2023-06-04,296.3691832300525
2023-06-05,374.85460482775767
2023-06-06,324.4780176207718
2023-06-07,294.34771729667875
2023-06-08,333.391746170851
2023-06-09,147.96996637501772
2023-06-10,103.72392538335491
2023-06-11,277.05702366924123
2023-06-12,374.06259241838785
2023-06-13,266.7304121603777
2023-06-14,354.86792161299303
2023-06-15,382.55802608316094
2023-06-16,185.66171813218804
2023-06-17,95.72905245781041
2023-06-18,326.8802066683956
2023-06-19,426.48608334992105
2023-06-20,431.80164212754175
2023-06-21,391.86113473227533
2023-06-22,350.0595614589527
2023-06-23,165.56198959821316
2023-06-24,86.11641037201488
2023-06-25,345.4960605163216
2023-06-26,403.59212176286053
2023-06-27,403.5951665090787
2023-06-28,407.2872944575818
2023-06-29,329.3765342224481
2023-06-30,215.29529444376598
