Date,Price1,Price2,Year
2023-05-24 00:00:00,94.53,94.53,2023
2023-05-24 01:00:00,90.0,90.0,2023
2023-05-24 02:00:00,78.77,78.77,2023
2023-05-24 03:00:00,75.21,75.21,2023
2023-05-24 04:00:00,75.0,75.0,2023
2023-05-24 05:00:00,75.4,75.4,2023
2023-05-24 06:00:00,75.76,75.76,2023
2023-05-24 07:00:00,96.0,96.0,2023
2023-05-24 08:00:00,100.46,100.46,2023
2023-05-24 09:00:00,98.66,98.66,2023
2023-05-24 10:00:00,85.92,85.92,2023
2023-05-24 11:00:00,81.0,81.0,2023
2023-05-24 12:00:00,80.58,80.58,2023
2023-05-24 13:00:00,78.77,78.77,2023
2023-05-24 14:00:00,75.21,75.21,2023
2023-05-24 15:00:00,74.75,74.75,2023
2023-05-24 16:00:00,71.75,71.75,2023
2023-05-24 17:00:00,72.0,72.0,2023
2023-05-24 18:00:00,75.47,75.47,2023
2023-05-24 19:00:00,89.25,89.25,2023
2023-05-24 20:00:00,95.71,95.71,2023
2023-05-24 21:00:00,104.96,104.96,2023
2023-05-24 22:00:00,102.0,102.0,2023
2023-05-24 23:00:00,98.28,98.28,2023
2023-08-10 00:00:00,117.57,117.57,2023
2023-08-10 01:00:00,112.58,112.58,2023
2023-08-10 02:00:00,111.24,111.24,2023
2023-08-10 03:00:00,111.24,111.24,2023
2023-08-10 04:00:00,110.54,110.54,2023
2023-08-10 05:00:00,112.41,112.41,2023
2023-08-10 06:00:00,114.07,114.07,2023
2023-08-10 07:00:00,112.58,112.58,2023
2023-08-10 08:00:00,107.44,107.44,2023
2023-08-10 09:00:00,107.44,107.44,2023
2023-08-10 10:00:00,105.5,105.5,2023
2023-08-10 11:00:00,86.21,86.21,2023
2023-08-10 12:00:00,85.1,85.1,2023
2023-08-10 13:00:00,84.5,84.5,2023
2023-08-10 14:00:00,83.5,83.5,2023
2023-08-10 15:00:00,82.51,82.51,2023
2023-08-10 16:00:00,82.21,82.21,2023
2023-08-10 17:00:00,91.28,91.28,2023
2023-08-10 18:00:00,100.42,100.42,2023
2023-08-10 19:00:00,109.25,109.25,2023
2023-08-10 20:00:00,120.25,120.25,2023
2023-08-10 21:00:00,125.51,125.51,2023
2023-08-10 22:00:00,124.82,124.82,2023
2023-08-10 23:00:00,115.72,115.72,2023
2023-07-20 00:00:00,101.12,101.12,2023
2023-07-20 01:00:00,94.5,94.5,2023
2023-07-20 02:00:00,90.1,90.1,2023
2023-07-20 03:00:00,90.09,90.09,2023
2023-07-20 04:00:00,90.0,90.0,2023
2023-07-20 05:00:00,96.0,96.0,2023
2023-07-20 06:00:00,101.73,101.73,2023
2023-07-20 07:00:00,109.99,109.99,2023
2023-07-20 08:00:00,111.45,111.45,2023
2023-07-20 09:00:00,101.28,101.28,2023
2023-07-20 10:00:00,97.0,97.0,2023
2023-07-20 11:00:00,96.0,96.0,2023
2023-07-20 12:00:00,92.0,92.0,2023
2023-07-20 13:00:00,80.85,80.85,2023
2023-07-20 14:00:00,76.72,76.72,2023
2023-07-20 15:00:00,75.03,75.03,2023
2023-07-20 16:00:00,77.31,77.31,2023
2023-07-20 17:00:00,77.45,77.45,2023
2023-07-20 18:00:00,75.25,75.25,2023
2023-07-20 19:00:00,85.0,85.0,2023
2023-07-20 20:00:00,101.46,101.46,2023
2023-07-20 21:00:00,110.8,110.8,2023
2023-07-20 22:00:00,112.47,112.47,2023
2023-07-20 23:00:00,107.84,107.84,2023
2023-04-01 00:00:00,82.19,82.19,2023
2023-04-01 01:00:00,63.9,63.9,2023
2023-04-01 02:00:00,50.0,50.0,2023
2023-04-01 03:00:00,42.5,42.5,2023
2023-04-01 04:00:00,39.45,39.45,2023
2023-04-01 05:00:00,38.32,38.32,2023
2023-04-01 06:00:00,42.5,42.5,2023
2023-04-01 07:00:00,54.67,54.67,2023
2023-04-01 08:00:00,63.78,63.78,2023
2023-04-01 09:00:00,55.0,55.0,2023
2023-04-01 10:00:00,33.33,33.33,2023
2023-04-01 11:00:00,18.16,18.16,2023
2023-04-01 12:00:00,15.49,15.49,2023
2023-04-01 13:00:00,15.0,15.0,2023
2023-04-01 14:00:00,10.35,10.35,2023
2023-04-01 15:00:00,4.16,4.16,2023
2023-04-01 16:00:00,4.16,4.16,2023
2023-04-01 17:00:00,4.16,4.16,2023
2023-04-01 18:00:00,4.16,4.16,2023
2023-04-01 19:00:00,17.99,17.99,2023
2023-04-01 20:00:00,36.55,36.55,2023
2023-04-01 21:00:00,49.01,49.01,2023
2023-04-01 22:00:00,37.38,37.38,2023
2023-04-01 23:00:00,33.65,33.65,2023
2023-01-11 00:00:00,35.0,35.0,2023
2023-01-11 01:00:00,8.0,8.0,2023
2023-01-11 02:00:00,4.16,4.16,2023
2023-01-11 03:00:00,4.16,4.16,2023
2023-01-11 04:00:00,4.16,4.16,2023
2023-01-11 05:00:00,5.53,5.53,2023
2023-01-11 06:00:00,64.37,64.37,2023
2023-01-11 07:00:00,99.99,99.99,2023
2023-01-11 08:00:00,139.02,139.02,2023
2023-01-11 09:00:00,138.67,138.67,2023
2023-01-11 10:00:00,130.0,130.0,2023
2023-01-11 11:00:00,107.35,107.35,2023
2023-01-11 12:00:00,95.96,95.96,2023
2023-01-11 13:00:00,84.77,84.77,2023
2023-01-11 14:00:00,66.02,66.02,2023
2023-01-11 15:00:00,62.87,62.87,2023
2023-01-11 16:00:00,85.15,85.15,2023
2023-01-11 17:00:00,130.0,130.0,2023
2023-01-11 18:00:00,134.95,134.95,2023
2023-01-11 19:00:00,131.96,131.96,2023
2023-01-11 20:00:00,136.65,136.65,2023
2023-01-11 21:00:00,135.07,135.07,2023
2023-01-11 22:00:00,115.16,115.16,2023
2023-01-11 23:00:00,93.08,93.08,2023
2023-03-15 00:00:00,133.86,133.86,2023
2023-03-15 01:00:00,124.69,124.69,2023
2023-03-15 02:00:00,122.65,122.65,2023
2023-03-15 03:00:00,120.51,120.51,2023
2023-03-15 04:00:00,120.67,120.67,2023
2023-03-15 05:00:00,131.81,131.81,2023
2023-03-15 06:00:00,144.52,144.52,2023
2023-03-15 07:00:00,165.55,165.55,2023
2023-03-15 08:00:00,145.31,145.31,2023
2023-03-15 09:00:00,134.01,134.01,2023
2023-03-15 10:00:00,120.0,120.0,2023
2023-03-15 11:00:00,113.0,113.0,2023
2023-03-15 12:00:00,109.49,109.49,2023
2023-03-15 13:00:00,108.0,108.0,2023
2023-03-15 14:00:00,107.0,107.0,2023
2023-03-15 15:00:00,114.0,114.0,2023
2023-03-15 16:00:00,115.98,115.98,2023
2023-03-15 17:00:00,132.71,132.71,2023
2023-03-15 18:00:00,140.85,140.85,2023
2023-03-15 19:00:00,190.0,190.0,2023
2023-03-15 20:00:00,175.25,175.25,2023
2023-03-15 21:00:00,147.36,147.36,2023
2023-03-15 22:00:00,139.35,139.35,2023
2023-03-15 23:00:00,127.63,127.63,2023
2023-06-05 00:00:00,97.1,97.1,2023
2023-06-05 01:00:00,91.59,91.59,2023
2023-06-05 02:00:00,90.99,90.99,2023
2023-06-05 03:00:00,91.36,91.36,2023
2023-06-05 04:00:00,90.69,90.69,2023
2023-06-05 05:00:00,82.1,82.1,2023
2023-06-05 06:00:00,93.0,93.0,2023
2023-06-05 07:00:00,99.39,99.39,2023
2023-06-05 08:00:00,99.95,99.95,2023
2023-06-05 09:00:00,85.77,85.77,2023
2023-06-05 10:00:00,75.0,75.0,2023
2023-06-05 11:00:00,70.08,70.08,2023
2023-06-05 12:00:00,68.99,68.99,2023
2023-06-05 13:00:00,66.54,66.54,2023
2023-06-05 14:00:00,67.16,67.16,2023
