power_transport_vehicles,production_schedule,maintenance_status,volume_production_waste,number_of_workers,Time
41.17871716675619,28.0,14.943895018867174,14.673982211261064,0.0,2022-07-01 00:00:00
20.076961794558784,0.0,22.91929884098821,11.896771097620208,70.0,2022-07-01 01:00:00
46.59222819542253,0.0,0.7019926417510884,10.079189180916847,0.0,2022-07-01 02:00:00
70.22146337783028,21.0,37.6980211315426,10.916787352095417,0.0,2022-07-01 03:00:00
18.019066880570662,12.0,0.0,7.612209696794801,0.0,2022-07-01 04:00:00
34.53702666270362,14.0,42.61170991816995,12.656131772517947,0.0,2022-07-01 05:00:00
97.28904822068026,40.0,24.278548951351826,14.135855172497482,0.0,2022-07-01 06:00:00
82.30251785712001,32.0,44.67843520534028,14.819409653426533,0.0,2022-07-01 07:00:00
47.59699112937501,32.0,36.29821786810098,21.070609805590507,28.0,2022-07-01 08:00:00
64.46457423334313,36.0,29.28440262654412,14.756559027944007,83.0,2022-07-01 09:00:00
40.682622054054086,22.0,35.60639355961179,7.040925476304803,90.0,2022-07-01 10:00:00
40.99535630118923,51.0,39.619438790465146,17.708370118494138,160.0,2022-07-01 11:00:00
77.23703408584566,23.0,30.056620570623718,19.348894482560944,60.0,2022-07-01 12:00:00
0.0,36.0,41.37351534217302,17.51136520900298,56.0,2022-07-01 13:00:00
11.571242317185437,53.0,15.392329292606458,15.04814247103139,29.0,2022-07-01 14:00:00
44.15757499613326,10.0,30.433141836789353,21.344602571594294,31.0,2022-07-01 15:00:00
24.746070756779513,22.0,40.105051047490264,13.32218696020688,197.0,2022-07-01 16:00:00
71.8728348250198,48.0,46.147971117819125,21.04045136129448,66.0,2022-07-01 17:00:00
30.182858520389868,46.0,35.62362311693411,10.932358826877717,69.0,2022-07-01 18:00:00
23.78809420011593,31.0,27.177716050751304,13.634895904301525,0.0,2022-07-01 19:00:00
102.15723599341081,18.0,42.54450313841265,19.062337155516982,74.0,2022-07-01 20:00:00
46.03238784129913,41.0,16.362344841166298,10.713118760888218,89.0,2022-07-01 21:00:00
29.05641382622723,31.0,39.78641994902843,23.30101213200859,104.0,2022-07-01 22:00:00
0.0,0.0,11.38823348073648,10.577485872458421,66.0,2022-07-01 23:00:00
7.806072849397356,0.0,0.0,6.221314792444716,9.0,2022-07-02 00:00:00
26.9521318397676,15.0,0.0,12.055369362809273,5.0,2022-07-02 01:00:00
0.0,21.0,12.084785557560625,2.10996242735953,12.0,2022-07-02 02:00:00
37.067883781811204,8.0,14.995850685611321,13.371846952107894,27.0,2022-07-02 03:00:00
6.162062009859429,22.0,41.635461627978216,12.759569801832388,113.0,2022-07-02 04:00:00
14.03303030096152,1.0,0.0,15.09746613203658,98.0,2022-07-02 05:00:00
2.778495956262198,0.0,11.006780151131014,1.901352095671696,72.0,2022-07-02 06:00:00
76.48537610295372,4.0,0.0,0.0,168.0,2022-07-02 07:00:00
20.621284131224428,11.0,3.1232776384801717,0.680390424321498,0.0,2022-07-02 08:00:00
0.0,6.0,35.75630534186976,3.136133575619245,0.0,2022-07-02 09:00:00
44.8073517299079,0.0,0.0,17.53683809809122,14.0,2022-07-02 10:00:00
0.0,0.0,19.346029374117943,21.732786725008335,0.0,2022-07-02 11:00:00
27.412196059749647,3.0,16.46675449001937,7.871539337231614,0.0,2022-07-02 12:00:00
0.0,25.0,11.165812884102854,5.834621699877486,0.0,2022-07-02 13:00:00
0.0,32.0,20.6791039330289,3.819468564019836,0.0,2022-07-02 14:00:00
29.945138386117375,30.0,0.0,12.19500295409242,85.0,2022-07-02 15:00:00
43.74788386274441,0.0,35.641780848494406,21.812832055656905,74.0,2022-07-02 16:00:00
13.790611754476409,0.0,33.19746408624146,15.556272513606359,0.0,2022-07-02 17:00:00
0.0,8.0,0.9058062742499624,8.634442498473884,17.0,2022-07-02 18:00:00
0.0,10.0,36.49451772339545,8.498731865449994,102.0,2022-07-02 19:00:00
0.0,6.0,0.0,6.340031570486646,0.0,2022-07-02 20:00:00
0.0,0.0,6.149493008280885,0.0,0.0,2022-07-02 21:00:00
0.0,0.0,21.673750803779274,0.0,22.0,2022-07-02 22:00:00
32.04226940665481,-0.0,0.0,0.0,1.0,2022-07-02 23:00:00
10.666627289673931,7.0,0.0,3.257066666640171,64.0,2022-07-03 00:00:00
0.0,12.0,0.0,0.0,0.0,2022-07-03 01:00:00
10.064222138612408,2.0,31.083249986924162,0.0,0.0,2022-07-03 02:00:00
