Time,optimized_Total Cost,actual_energy_cost (Hour),actual_Production Energy,optimized_Production Energy,actual_Chiller Energy,optimized_Chiller Energy,actual_UTA Energy,optimized_UTA Energy,actual_Compressor Energy,optimized_Compressor Energy,actual_Office Energy,optimized_Office Energy,actual_Data Center Energy,optimized_Data Center Energy,actual_Technological Centers Energy,optimized_Technological Centers Energy,actual_power_transport_vehicles,optimized_Power Transport Vehicles,actual_set_point,optimized_Set Point,actual_num_active_chiller,optimized_Number of Active Chillers,actual_standby_power_down,optimized_Standby Power Down,actual_active_printers,optimized_Active Printers,actual_active_coffee_machines,optimized_Active Coffee Machines,actual_server,optimized_Number of Servers,actual_network_switch_poe,optimized_Number of Network Switches (PoE),actual_network_switch_non_poe,optimized_Number of Network Switches (Non-PoE),actual_hdd,optimized_Number of HDDs,actual_ssd,optimized_Number of SSDs,actual_production_schedule,actual_maintenance_status,actual_volume_production_waste,actual_number_of_workers,actual_heat_index,efficiency_adjusted_power,actual_operational_presence,actual_fabric_in_chamber,actual_testing_schedule,actual_workload,actual_lightbulbs_active,actual_active_wall_plugs,actual_active_computers,actual_price_mWh
6/1/23 00:00,410.7001523,6.477289319,192.419586,0,12.43156847,0.221774604,15.77213376,0.478906251,27.25947452,1.008714814,3.081576433,0.260390351,0.296966561,0.422562215,24.10437898,1.001111781,77.95585288,22.06539536,18,21,0,0,1.392999333,1,0.275485217,0,0.059611243,0,1,1,1,1,1,1,1,1,1,1,74,30.68289774,27.77916852,60,14.27,0.608466332,1.22435795,7.135334307,2.68542415,9.318874631,0.760374943,3.550701853,0.206998457,94.09
6/1/23 01:00,410.7001523,6.046859152,194.1711783,77.75640817,12.67265127,0.643419433,16.09238854,42.74294641,27.5441879,16.33998258,3.107436306,2.803075554,0.296902866,0.422562215,24.13176752,30.909301,79.29355028,0,18,20,0,0,2.580988254,0,0.217174477,0,0.122713821,0,1,1,1,1,1,1,1,1,1,1,43,30.80518444,24.65930568,148,13.77,0.60913289,1.272420839,2.940165289,2.731925834,7.668839679,0.783659439,1.257983077,0.202776246,87
6/1/23 02:00,410.7001523,6.104514662,195.9227707,53.52093441,12.91373408,0.511488653,16.41264331,35.42085529,27.82890127,16.49120597,3.133296178,1.843004783,0.296839172,0.422562215,24.15915605,28.75690044,42.29848438,0,18,20,0,0,2.549998748,0,0,0,0.119991563,0,1,1,1,1,1,1,1,1,1,1,44,82.81113891,8.428964827,144,13.6,0.609875586,0.04272495,3.066967399,16.61407226,0,0,1.305611668,2.071554442,87
6/1/23 03:00,410.7001523,6.304537551,197.6743631,12.57173589,13.15481688,0.656969618,16.73289809,31.30937013,28.11361465,16.46538111,3.159156051,2.931414969,0.296775478,0.422562215,24.18654459,28.55667382,114.6985701,0,18,20,0,0,0,0,0.240533159,0,0,0,1,1,1,1,1,1,1,1,1,1,33,40.21731638,26.19625567,0,13.77,0.610317338,2.459534116,1.693918676,5.269611483,8.516330142,1.717201271,0.541071032,0.525280689,89.01
6/1/23 04:00,410.7001523,5.790872186,199.4259554,79.704732,13.39589968,0.239576096,17.05315287,44.98194157,28.39832803,17.65071993,3.185015924,4.994064786,0.296711783,0.422562215,24.21393312,28.55667473,115.6808577,0,18,21,0,0,1.848423029,0,0.263016405,0,0.080008826,0,1,1,1,1,1,1,1,1,1,1,51,64.01865985,27.5649476,88,14.27,0.609932851,2.49575001,4.078623024,11.63052831,9.26019107,1.730854162,1.811353684,1.375872428,81
6/1/23 05:00,410.7001523,5.779611992,201.1775478,21.07810591,13.63698248,0.061211618,17.37340764,30.02148342,28.6830414,17.27256485,3.210875796,2.437210724,0.296648089,0.422562215,24.24132166,28.38148292,111.5227136,0,18,22,0,0,0,0,0.348170259,0,0,0,1,1,1,1,1,1,1,1,1,1,27,69.18512883,32.41534002,0,15.06,0.609537413,2.360618181,0.827082347,13.02214527,11.86095892,1.605201354,0.029609655,1.553745198,80.1
6/1/23 06:00,410.7001523,6.415236129,202.9291401,82.05529224,13.87806529,0.094509321,17.69366242,34.2471329,28.96775478,27.86373863,3.236735669,3.297279799,0.296584395,0.422562215,24.26871019,29.70796123,69.73872485,0,18,23,0,0,1.581443946,0,0.033075136,0,0.063494307,0,1,1,1,1,1,1,1,1,1,1,77,41.55393817,15.02967809,65,16.1,0.609556531,0.971291532,7.530809587,5.66771966,2.602497794,0.459888156,3.638643203,0.547622455,88.1
6/1/23 07:00,410.7001523,7.237816467,204.6807325,102.0051974,14.11914809,0.267591386,18.0139172,42.11434082,29.25246815,52.27177727,3.262595541,4.499860541,0.296520701,0.422562215,24.29609873,27.35534605,68.17902947,0,18,24,0,0,1.100477748,0,0.154957411,0,0.036473308,0,1,1,1,1,1,1,1,1,1,1,64,50.21656339,21.92053834,27,17.31,0.609516324,0.922774661,5.893665467,7.99164495,6.291515158,0.404653309,2.73109491,0.851706465,98.5
6/1/23 08:00,410.7001523,7.345354661,206.4323248,111.5373002,14.36023089,0.507916911,18.33417197,37.99966305,29.53718153,55.47421069,3.288455414,3.411450355,0.296457006,0.422562215,24.32348726,28.35645549,51.35145251,0,18,25,1,0,0.821530825,0,0.240503326,0,0.02036135,0,1,1,1,1,1,1,1,1,1,1,60,46.60973724,26.79271188,5,18.6,0.609569538,0.365328403,5.285494197,7.043716542,8.903899615,0,2.380735414,0.71286328,99.07
6/1/23 09:00,410.7001523,6.530544964,208.1839172,119.4178177,14.60131369,1.574714646,18.65442675,35.47545891,29.8218949,54.66702325,3.314315287,4.865725371,0.296393312,0.422562215,24.3508758,28.85701114,93.42618256,0,19,25,1,0,2.536675517,0,0.093956588,0,0.111930339,0,1,1,1,1,1,1,1,1,1,1,25,21.2722685,18.77084914,132,19.89,0.609632076,1.77129238,0.593981744,0.300950109,4.63946472,1.062916952,0,0,87.3
