Date,Optimized_Total_Cost,actual_energy_cost
2023-06-01,215.29529444376598,156.80598717161624
2023-06-02,215.29529444376598,192.83004579621817
2023-06-03,215.29529444376598,221.8863740471736
2023-06-04,215.29529444376598,230.45780703176752
2023-06-05,215.29529444376598,282.23188664721334
2023-06-06,215.29529444376598,239.54169110535713
2023-06-07,215.29529444376598,235.83603456214712
2023-06-08,215.29529444376598,245.67018108421053
2023-06-09,215.29529444376598,243.99776903578945
2023-06-10,215.29529444376598,243.1680467513684
2023-06-11,215.29529444376598,231.73547390126316
2023-06-12,215.29529444376598,282.53107648269736
2023-06-13,215.29529444376598,240.8161090078636
2023-06-14,215.29529444376598,255.45906473392608
2023-06-15,215.29529444376598,264.8955814579861
2023-06-16,215.29529444376598,236.09320226715903
2023-06-17,215.29529444376598,295.0303783144752
2023-06-18,215.29529444376598,217.3526935945748
2023-06-19,215.29529444376598,313.5205775265047
2023-06-20,215.29529444376598,358.626771975
2023-06-21,215.29529444376598,289.116148778001
2023-06-22,215.29529444376598,434.38614426875
2023-06-23,215.29529444376598,402.50394998125
2023-06-24,215.29529444376598,111.29582421875
2023-06-25,215.29529444376598,73.2175541625
2023-06-26,215.29529444376598,285.2313000375
2023-06-27,215.29529444376598,304.8020796625
2023-06-28,215.29529444376598,306.5156915375
2023-06-29,215.29529444376598,302.557501
2023-06-30,215.29529444376598,260.74527965
