Date,Optimized_Total_Cost,actual_energy_cost
2023-06-01,410.70015231176814,627.223948686465
2023-06-02,211.516764765742,771.3201831848726
2023-06-03,94.16336471049402,887.5454961886943
2023-06-04,296.3691832300525,921.83122812707
2023-06-05,374.85460482775767,1128.9275465888536
2023-06-06,324.4780176207718,958.1667644214284
2023-06-07,294.34771729667875,943.3441382485884
2023-06-08,333.391746170851,982.680724336842
2023-06-09,147.96996637501772,975.991076143158
2023-06-10,103.72392538335491,972.6721870054736
2023-06-11,277.05702366924123,926.9418956050528
2023-06-12,374.06259241838785,1130.1243059307894
2023-06-13,266.7304121603777,963.2644360314544
2023-06-14,354.86792161299303,1021.8362589357044
2023-06-15,382.55802608316094,1059.5823258319444
2023-06-16,185.66171813218804,944.372809068636
2023-06-17,95.72905245781041,1180.1215132579007
2023-06-18,326.8802066683956,869.4107743782993
2023-06-19,426.48608334992105,1254.082310106019
2023-06-20,431.80164212754175,1434.5070879
2023-06-21,391.86113473227533,1156.464595112004
2023-06-22,350.0595614589527,1737.544577075
2023-06-23,165.56198959821316,1610.015799925
2023-06-24,86.11641037201488,445.183296875
2023-06-25,345.4960605163216,292.87021665000003
2023-06-26,403.59212176286053,1140.92520015
2023-06-27,403.5951665090787,1219.20831865
2023-06-28,407.2872944575818,1226.06276615
2023-06-29,329.3765342224481,1210.230004
2023-06-30,215.29529444376598,1042.9811186
