Date,Optimized_Total_Cost,actual_energy_cost
2023-06-01,0.0,156.80598717161624
2023-06-02,0.0,192.83004579621817
2023-06-03,0.0,221.8863740471736
2023-06-04,0.0,230.45780703176752
2023-06-05,0.0,282.23188664721334
2023-06-06,0.0,239.54169110535713
2023-06-07,0.0,235.83603456214712
2023-06-08,0.0,245.67018108421053
2023-06-09,0.0,243.99776903578945
2023-06-10,0.0,243.1680467513684
2023-06-11,0.0,231.73547390126316
2023-06-12,0.0,282.53107648269736
2023-06-13,0.0,240.8161090078636
2023-06-14,0.0,255.45906473392608
2023-06-15,0.0,264.8955814579861
2023-06-16,0.0,236.09320226715903
2023-06-17,0.0,295.0303783144752
2023-06-18,0.0,217.3526935945748
2023-06-19,0.0,313.5205775265047
2023-06-20,0.0,358.626771975
2023-06-21,0.0,289.116148778001
2023-06-22,0.0,434.38614426875
2023-06-23,0.0,402.50394998125
2023-06-24,0.0,111.29582421875
2023-06-25,0.0,73.2175541625
2023-06-26,0.0,285.2313000375
2023-06-27,0.0,304.8020796625
2023-06-28,0.0,306.5156915375
2023-06-29,0.0,302.557501
2023-06-30,0.0,260.74527965
