Date,Optimized_Total_Cost,actual_energy_cost
2023-06-01,410.70015231176814,156.80598717161624
2023-06-02,211.516764765742,192.83004579621817
2023-06-03,94.16336471049402,221.8863740471736
2023-06-04,296.3691832300525,230.45780703176752
2023-06-05,374.85460482775767,282.23188664721334
2023-06-06,324.4780176207718,239.54169110535713
2023-06-07,294.34771729667875,235.83603456214712
2023-06-08,333.391746170851,245.67018108421053
2023-06-09,147.96996637501772,243.99776903578945
2023-06-10,103.72392538335491,243.1680467513684
2023-06-11,277.05702366924123,231.73547390126316
2023-06-12,374.06259241838785,282.53107648269736
2023-06-13,266.7304121603777,240.8161090078636
2023-06-14,354.86792161299303,255.45906473392608
2023-06-15,382.55802608316094,264.8955814579861
2023-06-16,185.66171813218804,236.09320226715903
2023-06-17,95.72905245781041,295.0303783144752
2023-06-18,326.8802066683956,217.3526935945748
2023-06-19,426.48608334992105,313.5205775265047
2023-06-20,431.80164212754175,358.626771975
2023-06-21,391.86113473227533,289.116148778001
2023-06-22,350.0595614589527,434.38614426875
2023-06-23,165.56198959821316,402.50394998125
2023-06-24,86.11641037201488,111.29582421875
2023-06-25,345.4960605163216,73.2175541625
2023-06-26,403.59212176286053,285.2313000375
2023-06-27,403.5951665090787,304.8020796625
2023-06-28,407.2872944575818,306.5156915375
2023-06-29,329.3765342224481,302.557501
2023-06-30,215.29529444376598,260.74527965
