Date,Optimized_Total_Cost,actual_energy_cost
2023-06-01,822.81583916317,627.223948686465
2023-06-02,634.7853625120999,771.3201831848726
2023-06-03,523.1861399133314,887.5454961886943
2023-06-04,701.4442012712352,921.83122812707
2023-06-05,897.1358086186842,1128.9275465888536
2023-06-06,762.6335952456488,958.1667644214284
2023-06-07,713.6643766789044,943.3441382485884
2023-06-08,728.4424527352351,982.680724336842
2023-06-09,620.929278231062,975.991076143158
2023-06-10,628.4876645778162,972.6721870054736
2023-06-11,673.7601174457178,926.9418956050528
2023-06-12,826.3834037914165,1130.1243059307894
2023-06-13,703.5832887436865,963.2644360314544
2023-06-14,798.9906656592918,1021.8362589357044
2023-06-15,906.3283502083525,1059.5823258319444
2023-06-16,811.13332619817,944.372809068636
2023-06-17,555.7563226345854,1180.1215132579007
2023-06-18,796.2046710489094,869.4107743782993
2023-06-19,1346.4829195192451,1254.082310106019
2023-06-20,954.9511523408694,1434.5070879
2023-06-21,929.023930223818,1156.464595112004
2023-06-22,894.4766758622175,1737.544577075
2023-06-23,696.5329969696239,1610.015799925
2023-06-24,553.850501240738,445.183296875
2023-06-25,1157.6314929092687,292.87021665000003
2023-06-26,1110.379809080831,1140.92520015
2023-06-27,1360.3924536270165,1219.20831865
2023-06-28,996.330254662411,1226.06276615
2023-06-29,871.5510930132608,1210.230004
2023-06-30,682.7575607355649,1042.9811186
