Time,energy_cost
2023-06-01,627.223948686465
2023-06-02,771.3201831848726
2023-06-03,887.5454961886943
2023-06-04,921.8312281270701
2023-06-05,1128.9275465888536
2023-06-06,958.1667644214285
2023-06-07,943.3441382485885
2023-06-08,982.6807243368421
2023-06-09,975.9910761431579
2023-06-10,972.6721870054736
2023-06-11,926.9418956050527
2023-06-12,1130.1243059307894
2023-06-13,963.2644360314544
2023-06-14,1021.8362589357043
2023-06-15,1059.5823258319444
2023-06-16,944.3728090686361
2023-06-17,1180.1215132579007
2023-06-18,869.4107743782993
2023-06-19,1254.082310106019
2023-06-20,1434.5070879
2023-06-21,1156.464595112004
2023-06-22,1737.544577075
2023-06-23,1610.015799925
2023-06-24,445.183296875
2023-06-25,292.87021665000003
2023-06-26,1140.92520015
2023-06-27,1219.20831865
2023-06-28,1226.06276615
2023-06-29,1210.230004
2023-06-30,1042.9811186
